1A,1B,1D,1E,1G,1I,1K,1L,qualified_thirds
3C,3G,3B,3D,3H,3F,3L,3E,BCDEFGHL
3C,3G,3B,3D,3H,3F,3E,3K,BCDEFGHK
3H,3G,3B,3C,3J,3F,3D,3E,BCDEFGHJ
3C,3G,3B,3D,3H,3F,3E,3I,BCDEFGHI
3H,3J,3I,3F,3A,3G,3L,3K,AFGHIJKL
3E,3J,3I,3A,3H,3G,3L,3K,AEGHIJKL
3E,3J,3I,3F,3A,3H,3L,3K,AEFHIJKL
3E,3J,3I,3F,3A,3G,3L,3K,AEFGIJKL
3E,3G,3J,3F,3A,3H,3L,3K,AEFGHJKL
3E,3G,3I,3F,3A,3H,3L,3K,AEFGHIKL
3E,3G,3J,3F,3A,3H,3L,3I,AEFGHIJL
3E,3G,3J,3F,3A,3H,3I,3K,AEFGHIJK
3H,3J,3I,3D,3A,3G,3L,3K,ADGHIJKL
3H,3J,3I,3D,3A,3F,3L,3K,ADFHIJKL
3I,3G,3J,3D,3A,3F,3L,3K,ADFGIJKL
3H,3G,3J,3D,3A,3F,3L,3K,ADFGHJKL
3H,3G,3I,3D,3A,3F,3L,3K,ADFGHIKL
3H,3G,3J,3D,3A,3F,3L,3I,ADFGHIJL
3H,3G,3J,3D,3A,3F,3I,3K,ADFGHIJK
3E,3J,3I,3D,3A,3H,3L,3K,ADEHIJKL
3E,3J,3I,3D,3A,3G,3L,3K,ADEGIJKL
3E,3G,3J,3D,3A,3H,3L,3K,ADEGHJKL
3E,3G,3I,3D,3A,3H,3L,3K,ADEGHIKL
3E,3G,3J,3D,3A,3H,3L,3I,ADEGHIJL
3E,3G,3J,3D,3A,3H,3I,3K,ADEGHIJK
3E,3J,3I,3D,3A,3F,3L,3K,ADEFIJKL
3H,3J,3E,3D,3A,3F,3L,3K,ADEFHJKL
3H,3E,3I,3D,3A,3F,3L,3K,ADEFHIKL
3H,3J,3E,3D,3A,3F,3L,3I,ADEFHIJL
3H,3J,3E,3D,3A,3F,3I,3K,ADEFHIJK
3E,3G,3J,3D,3A,3F,3L,3K,ADEFGJKL
3E,3G,3I,3D,3A,3F,3L,3K,ADEFGIKL
3E,3G,3J,3D,3A,3F,3L,3I,ADEFGIJL
3E,3G,3J,3D,3A,3F,3I,3K,ADEFGIJK
3H,3G,3E,3D,3A,3F,3L,3K,ADEFGHKL
3H,3G,3J,3D,3A,3F,3L,3E,ADEFGHJL
3H,3G,3J,3D,3A,3F,3E,3K,ADEFGHJK
3H,3G,3E,3D,3A,3F,3L,3I,ADEFGHIL
3H,3G,3E,3D,3A,3F,3I,3K,ADEFGHIK
3H,3G,3J,3D,3A,3F,3E,3I,ADEFGHIJ
3H,3J,3I,3C,3A,3G,3L,3K,ACGHIJKL
3H,3J,3I,3C,3A,3F,3L,3K,ACFHIJKL
3I,3G,3J,3C,3A,3F,3L,3K,ACFGIJKL
3H,3G,3J,3C,3A,3F,3L,3K,ACFGHJKL
3H,3G,3I,3C,3A,3F,3L,3K,ACFGHIKL
3H,3G,3J,3C,3A,3F,3L,3I,ACFGHIJL
3H,3G,3J,3C,3A,3F,3I,3K,ACFGHIJK
3E,3J,3I,3C,3A,3H,3L,3K,ACEHIJKL
3E,3J,3I,3C,3A,3G,3L,3K,ACEGIJKL
3E,3G,3J,3C,3A,3H,3L,3K,ACEGHJKL
3E,3G,3I,3C,3A,3H,3L,3K,ACEGHIKL
3E,3G,3J,3C,3A,3H,3L,3I,ACEGHIJL
3E,3G,3J,3C,3A,3H,3I,3K,ACEGHIJK
3E,3J,3I,3C,3A,3F,3L,3K,ACEFIJKL
3H,3J,3E,3C,3A,3F,3L,3K,ACEFHJKL
3H,3E,3I,3C,3A,3F,3L,3K,ACEFHIKL
3H,3J,3E,3C,3A,3F,3L,3I,ACEFHIJL
3H,3J,3E,3C,3A,3F,3I,3K,ACEFHIJK
3E,3G,3J,3C,3A,3F,3L,3K,ACEFGJKL
3E,3G,3I,3C,3A,3F,3L,3K,ACEFGIKL
3E,3G,3J,3C,3A,3F,3L,3I,ACEFGIJL
3E,3G,3J,3C,3A,3F,3I,3K,ACEFGIJK
3H,3G,3E,3C,3A,3F,3L,3K,ACEFGHKL
3H,3G,3J,3C,3A,3F,3L,3E,ACEFGHJL
3H,3G,3J,3C,3A,3F,3E,3K,ACEFGHJK
3H,3G,3E,3C,3A,3F,3L,3I,ACEFGHIL
3H,3G,3E,3C,3A,3F,3I,3K,ACEFGHIK
3H,3G,3J,3C,3A,3F,3E,3I,ACEFGHIJ
3H,3J,3I,3C,3A,3D,3L,3K,ACDHIJKL
3I,3G,3J,3C,3A,3D,3L,3K,ACDGIJKL
3H,3G,3J,3C,3A,3D,3L,3K,ACDGHJKL
3H,3G,3I,3C,3A,3D,3L,3K,ACDGHIKL
3H,3G,3J,3C,3A,3D,3L,3I,ACDGHIJL
3H,3G,3J,3C,3A,3D,3I,3K,ACDGHIJK
3C,3J,3I,3D,3A,3F,3L,3K,ACDFIJKL
3H,3J,3F,3C,3A,3D,3L,3K,ACDFHJKL
3H,3F,3I,3C,3A,3D,3L,3K,ACDFHIKL
3H,3J,3F,3C,3A,3D,3L,3I,ACDFHIJL
3H,3J,3F,3C,3A,3D,3I,3K,ACDFHIJK
3C,3G,3J,3D,3A,3F,3L,3K,ACDFGJKL
3C,3G,3I,3D,3A,3F,3L,3K,ACDFGIKL
3C,3G,3J,3D,3A,3F,3L,3I,ACDFGIJL
3C,3G,3J,3D,3A,3F,3I,3K,ACDFGIJK
3H,3G,3F,3C,3A,3D,3L,3K,ACDFGHKL
3C,3G,3J,3D,3A,3F,3L,3H,ACDFGHJL
3H,3G,3J,3C,3A,3F,3D,3K,ACDFGHJK
3H,3G,3F,3C,3A,3D,3L,3I,ACDFGHIL
3H,3G,3F,3C,3A,3D,3I,3K,ACDFGHIK
3H,3G,3J,3C,3A,3F,3D,3I,ACDFGHIJ
