team,rate,asi,dwi
Basque Country,0.5221128053408507,2.3245855806889653,1.0038352326732043
Catalonia,0.306236047122936,1.8009267060330143,1.3229244816775951
Liberia,-0.2221846057313003,1.1310129697783773,1.5158635780407894
Bahamas,-0.6807656957368305,1.0996817042657707,3.7510138103066457
Gambia,-0.0204960428247316,2.165954907005242,1.2761412008754192
China PR,0.0815459630146722,0.7261573541558708,1.3192553629200263
Brunei,-0.9839689026990894,0.6563008567867099,2.92077570976528
Syria,0.1062812108854257,1.7008916404005503,0.6789245721927446
Palestine,0.0622280740825846,0.9299322021762072,0.9724070773191392
Martinique,-0.0631358094383934,0.7658240833920883,1.4025310870898189
Guadeloupe,0.0050750443272244,1.621187320704233,1.3337625563370556
NZ,0.3737694848198882,2.069239190283109,0.9767194089519248
Philippines,-0.3500946202937341,1.8420691644229088,1.4017217515448013
Bolivia,0.2601552376298256,0.6414193650550946,1.7812567757885138
Fiji,-0.0444675047936995,1.2087162475350413,2.3633944703305376
Guatemala,0.1918978269488918,1.2386690017438946,1.3150691803371393
Papua New Guinea,-0.0813681681328605,1.5160545456189956,1.522398920627341
Nicaragua,-0.092102820520334,1.028770977914226,1.5097915897039085
Cook Islands,-0.4522822407288652,0.6478776259288697,2.506840564317734
Vanuatu,-0.1050293885950265,1.2980416391078728,2.1260723822130903
Jamaica,0.2901748618523058,1.4430488241632404,0.9591320161782204
Barbados,-0.5660356323243501,1.7447076060313835,2.0694922652810326
Burundi,-0.230967942827981,0.6805920561444758,1.201380904380909
Lebanon,-0.1252462233890783,1.650806721589436,0.5342418320537647
Jordan,0.4398996784233338,1.6778783834243751,0.9748923697314216
Sri Lanka,-0.8666031082781723,0.871411268008352,1.2197868598305814
Yemen DPR,-0.2437982187616068,0.8106488199006403,2.7017828403936144
Somalia,-0.8717815749697775,0.4584565199312888,2.004872495659786
United Arab Emirates,0.3288392933664952,1.3836871922127598,1.1355103423446553
Puerto Rico,-0.3025064127630693,1.64757656285299,1.4147244720608902
Venezuela,0.5451302747043392,1.0326476953372148,1.774084607464989
Faroe Islands,-0.310354147645512,1.1258947048935242,1.13625499253354
Canada,0.6700836672448339,1.2788526074115978,0.555456891577262
USA,0.7283900652695462,1.606331357326117,1.167673247173564
Saint Kitts and Nevis,-0.3366770669918527,1.6473776210450684,1.9204204746979507
Nepal,-0.6913813351353952,0.655238664578218,1.714685258625836
Antigua and Barbuda,-0.5466591802378197,0.486522439692635,1.960980775424516
Central African Republic,-0.3399182522118886,0.6757358043616444,2.188891023105385
NK,-0.0201802252586591,1.1304664361655592,1.7941241349098722
Réunion,0.1561835305245,1.8508709616359489,0.5976018292968107
Bangladesh,-0.6939968402049008,1.055983563297,1.541668322787224
Eswatini,-0.4152720884417182,0.78134549401396,1.9938060494690049
Yemen,-0.438711466597169,2.2636106873690287,0.9159297983141584
Seychelles,-0.9144694775079104,0.2587004686869981,4.0525051570104935
Oman,0.2201753760489327,0.6899364120113715,0.9121686989556472
Silesia,0.0074677311311539,1.7171683943894536,1.1312014303208933
Afghanistan,-0.5418647739968253,0.5064874553205584,1.5092265029061096
Equatorial Guinea,-0.1039852715995461,0.7484395663825023,1.4162950573786648
Guinea-Bissau,-0.2885300264147213,0.714304013965449,1.2297601014678623
Mozambique,-0.0346988909459729,1.2182625893573755,1.564311846753054
Guam,-0.8265269588138434,0.7529658545408926,2.188429527975119
Solomon Islands,-0.1018937551157659,1.3458013860499098,1.701438391822868
Mauritania,-0.1207972921144839,0.4961097095381657,1.0936936289344144
Chad,-0.5102098191316378,0.6230720657446489,1.9748987361828572
Montenegro,0.0486030334016428,0.9603446232282586,1.7623619726138942
Angola,0.0999479190383305,1.111531349261373,1.1599985661090662
Dominican Republic,-0.0936969333033656,1.7448525636063956,1.2627406816858515
São Tomé and Príncipe,-0.670365123636065,0.5212698628914509,2.8964100990334702
Rwanda,-0.1333017813763378,0.511625222943423,1.030751994248724
Botswana,-0.2047035248968167,0.6537568490091591,1.5041504179928469
Northern Cyprus,0.2309588141080584,2.893444567386372,0.8654571670274871
RSA,0.3782930137115283,1.7661544041004609,0.9208033354671232
Zimbabwe,-0.1390566523698716,0.8176642960238099,1.2626509266936818
CPV,0.2725789870022663,1.441788277289246,0.7361500049572981
Kyrgyzstan,-0.1009128280123561,1.338863115445443,1.622216869313538
Lithuania,-0.374698956554353,0.7100189016475579,1.5936268308527104
Belarus,-0.0357202528923908,1.1168642383194225,2.084390547142075
Armenia,-0.1215714870971417,0.7974202712834001,2.1066290349789423
Georgia,0.3432986605976783,1.417817760668659,1.6907706452709894
Latvia,-0.3306600708772204,0.4997404078839066,1.5637136921176369
Azerbaijan,-0.2139347264869755,0.5316468262247275,2.227623941815092
Ukraine,0.6082369036618651,1.4910514744350232,1.8603723921027455
Kazakhstan,-0.1050299244041372,0.9388231015470264,1.7505132608740932
Comoros,-0.0982781294570277,0.9549595327049678,1.3856178335181868
Maldives,-0.773881965844225,0.8223607381898865,1.8145555139936376
Wallis Islands and Futuna,-0.2574255780761759,0.7940765306742699,4.100525418511261
Tonga,-0.5808935426673977,1.0878896730739158,3.400761937077399
Kiribati,-0.21660115101521,0.3096334168604209,6.494686001794912
Tuvalu,-0.3739772988681233,0.8273646952260216,4.995699640475366
Samoa,-0.396316888107069,1.1420595529707052,2.72014739413906
Greenland,-0.0978489014705046,1.8103046638989904,1.8029829291374724
Liechtenstein,-0.9641790976538024,0.207251350210636,2.772435838779081
Bhutan,-1.108270235013076,0.3933232352827515,2.2964683696397525
South Yemen,-0.0322623594200544,0.1050649492275172,0.5483436042501035
Djibouti,-0.8379950780858043,0.5859556191192365,2.8767019100576467
Niue,-0.01452344868817,0.0,0.9933244775361214
American Samoa,-0.6776689623626915,0.5866409334208823,5.899146459539689
Belize,-0.3843167356189967,1.0081092430612948,1.895784179881972
Cayman Islands,-0.6787356357648728,0.5871853766714042,2.3004639294686715
